,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
0,Shoogee,1.6224299999999998,-15.51242,-0.11115,16.86347,-3.5503699999999996,GMMs and Accordions,0.21564,51.35588,-74.79739000000001,4.41501,-20.16615,True
1,Atsuto,-33.803909999999995,-15.4417,0.78171,28.11765,6.4134199999999995,Bayesian Inference,18.708289999999998,12.72187,-78.84385999999999,6.4202,-20.07421,False
2,Bob,-10.49048,-15.487160000000001,0.19168,16.87734,11.41567,Bayesian Inference,-8.57972,6.02294,-78.18658,10.448039999999999,-20.13331,False
3,Atsuto,-18.3993,-15.472620000000001,0.39385,0.3231,-1.22566,Bayesian Inference,8.8181,-8.26627,-78.24734000000001,8.27237,-20.11441,False
4,Jorg,-38.06452,-15.370070000000002,0.74519,3.12356,0.15829000000000001,Bayesian Inference,-2.9039200000000003,-11.76543,-79.92011,7.23429,-19.98109,False
5,Atsuto,2.13528,-15.472779999999998,-0.21677,11.62632,-1.7853900000000003,GMMs and Accordions,5.60305,-23.30847,-75.35696,8.98161,-20.114620000000002,True
6,Bob,-12.063410000000001,-15.39016,0.01734,1.92766,-2.5213799999999997,Bayesian Inference,-14.805639999999999,21.27088,-78.26144000000001,8.06903,-20.00721,False
7,Atsuto,-1.00275,-15.4569,-0.15962,3.50596,2.0426,Bayesian Inference,1.7844799999999998,-16.20681,-76.73808000000001,7.7002,-20.09396,False
8,Jorg,-12.881260000000001,-15.441370000000001,0.15842,7.7960899999999995,0.34915999999999997,Bayesian Inference,-1.90421,18.03565,-77.61847,5.77048,-20.07378,False
9,Jorg,0.14535,-15.4331,-0.24804,12.47875,-4.24306,GMMs and Accordions,-4.48597,-27.319909999999997,-73.56616,5.75394,-20.063029999999998,True
10,Jorg,-30.047459999999997,-15.393229999999999,0.5594399999999999,12.98793,0.85595,Bayesian Inference,-18.045560000000002,-49.37976,-76.68708000000001,9.78892,-20.0112,False
11,Bob,-7.22974,-15.4124,-0.07578,23.1572,3.4815099999999997,Bayesian Inference,20.41084,-34.96813,-78.15053,5.96563,-20.03612,False
12,Bob,-13.24424,-15.42325,0.12791,1.0613299999999999,7.995989999999999,Bayesian Inference,-9.993210000000001,15.00159,-76.78472,8.25805,-20.05022,False
13,Atsuto,-20.22147,-15.45928,0.41766000000000003,-0.87459,2.5062599999999997,GMMs and Accordions,-0.42993000000000003,7.6792,-78.68564,6.0999099999999995,-20.097070000000002,False
14,Atsuto,-25.82206,-15.442260000000001,0.5455,23.01882,-1.0501200000000002,Bayesian Inference,-0.45998,11.9864,-77.40256,7.5852699999999995,-20.074939999999998,False
15,Atsuto,-13.56923,-15.457,0.21453000000000003,11.7349,0.28664,Bayesian Inference,6.77848,-4.28455,-75.25672,7.7316199999999995,-20.09411,False
16,Atsuto,-29.555870000000002,-15.406479999999998,0.57502,1.96071,0.64663,Bayesian Inference,4.49943,-17.216179999999998,-78.39260999999999,8.196769999999999,-20.02842,False
17,Jorg,-2.5563,-15.42265,-0.19147999999999998,2.38901,4.376519999999999,Bayesian Inference,7.64164,12.42309,-77.51528,7.596260000000001,-20.04944,False
18,Shoogee,3.4203099999999997,-15.566479999999999,-0.041389999999999996,-0.43013,5.0397300000000005,Bayesian Inference,-6.02647,-0.62832,-72.20879000000001,4.1285,-20.23643,True
19,Atsuto,0.48789,-15.52408,-0.0508,16.89069,6.25603,GMMs and Accordions,-6.662039999999999,6.745360000000001,-78.26731,7.84088,-20.18131,True
20,Bob,-17.82742,-15.3705,0.14402,4.76996,7.202160000000001,Bayesian Inference,-8.70116,7.079110000000001,-79.31931999999999,8.132010000000001,-19.98165,False
21,Bob,-9.01088,-15.494629999999999,0.16468,5.29697,-7.0255600000000005,Bayesian Inference,0.17336,8.51706,-78.94528000000001,7.22244,-20.14302,False
22,Shoogee,8.025689999999999,-15.59959,-0.10294,-0.12419000000000001,-10.77895,Bayesian Inference,0.3524,-13.36785,-73.79352,5.949319999999999,-20.27947,True
23,Atsuto,-6.23107,-15.370070000000002,-0.20199,14.1456,8.2439,Bayesian Inference,6.12046,-15.74669,-76.57548,8.83387,-19.98109,False
24,Bob,7.663310000000001,-15.483720000000002,-0.35633000000000004,14.24966,-1.50232,GMMs and Accordions,0.6190899999999999,-1.88073,-77.14143,6.865710000000001,-20.128829999999997,True
25,Shoogee,2.06526,-15.59968,0.07462,9.3742,-7.65411,GMMs and Accordions,-3.4645,-19.124229999999997,-73.96099,7.21852,-20.27959,True
26,Bob,21.14017,-15.4956,-0.73024,6.0718,-7.57873,GMMs and Accordions,7.557989999999999,-25.84994,-79.44756,9.31113,-20.14428,True
27,Bob,4.79816,-15.43786,-0.37563,12.23259,10.68247,GMMs and Accordions,-8.30674,11.66182,-76.027,8.90771,-20.06921,True
28,Atsuto,-15.932360000000001,-15.368910000000001,0.08402000000000001,-4.95284,-3.2286200000000003,GMMs and Accordions,-5.00904,25.5088,-72.41075,10.58792,-19.979589999999998,False
29,Bob,5.75535,-15.388589999999999,-0.51642,13.1163,-4.43994,GMMs and Accordions,-1.1870100000000001,6.816160000000001,-79.01338,9.11172,-20.00517,True
30,Jorg,-32.59104,-15.434989999999999,0.73033,5.62028,3.4536,Bayesian Inference,-5.13344,17.58425,-72.44575,4.60161,-20.06549,False
31,Jorg,2.45221,-15.45531,-0.26605,7.1433,-4.41003,GMMs and Accordions,26.33192,97.4201,-73.83511,6.15909,-20.0919,True
32,Atsuto,-25.79221,-15.50983,0.69865,19.68854,4.2272300000000005,Bayesian Inference,1.57813,-1.50589,-77.34172,7.53263,-20.162779999999998,False
33,Shoogee,-3.9866300000000003,-15.53723,0.11231,4.179209999999999,-8.43417,Bayesian Inference,-19.97895,15.35888,-75.57528,6.146780000000001,-20.1984,False
34,Atsuto,-14.84552,-15.38621,0.09111,-8.72905,-5.26169,GMMs and Accordions,-11.82756,8.27073,-79.03702,7.68203,-20.00207,False
35,Shoogee,6.51852,-15.58736,-0.08599,7.77652,0.8183,GMMs and Accordions,-5.64335,-46.40653,-76.81846999999999,7.8337,-20.26357,True
36,Bob,6.0566,-15.477570000000002,-0.32253000000000004,0.8465,-3.9655199999999997,GMMs and Accordions,-9.5407,10.71793,-78.08059,7.80364,-20.12085,True
37,Jorg,-18.29736,-15.43011,0.2939,23.86395,4.97393,Bayesian Inference,-2.04045,-11.16637,-74.37601,6.86687,-20.05914,False
38,Jorg,-29.475640000000002,-15.4375,0.64335,12.844619999999999,-4.175269999999999,Bayesian Inference,-28.7868,-0.9618200000000001,-76.85925999999999,10.70957,-20.06875,False
39,Jorg,-29.534979999999997,-15.38049,0.51515,0.25501999999999997,-1.45039,Bayesian Inference,-2.40239,9.80442,-75.03548,4.4695,-19.99464,False
40,Atsuto,-41.05447,-15.336110000000001,0.75673,19.6313,6.8098399999999994,Bayesian Inference,5.12827,-10.89057,-77.96476,8.53195,-19.93694,False
41,Jorg,-14.32877,-15.37381,0.04748,0.86359,-1.04626,Bayesian Inference,2.9649799999999997,-12.78634,-78.30325,7.367189999999999,-19.985960000000002,False
42,Shoogee,7.34082,-15.5985,-0.08506,6.43607,-5.33948,GMMs and Accordions,14.400079999999999,29.634240000000002,-74.51749000000001,6.91892,-20.27805,True
43,Shoogee,-1.3496299999999999,-15.48479,-0.08572,10.66485,5.90374,Bayesian Inference,-12.644219999999999,-6.77717,-77.19879,6.402880000000001,-20.13022,False
44,Atsuto,-27.584609999999998,-15.37054,0.43443999999999994,32.61372,6.92943,Bayesian Inference,-11.62588,4.5145800000000005,-78.56389,9.14792,-19.9817,False
45,Bob,-33.50464,-15.42239,0.7287899999999999,17.93122,-2.18647,Bayesian Inference,4.57859,-16.89835,-77.90919,7.91137,-20.04911,False
46,Bob,-11.10703,-15.39405,-0.00225,18.64741,6.17288,Bayesian Inference,-0.3974,-4.36125,-79.46759,5.884580000000001,-20.01226,False
47,Jorg,-26.408440000000002,-15.37943,0.4197,19.77307,4.60554,Bayesian Inference,7.4351899999999995,41.10497,-77.2186,8.164719999999999,-19.99325,False
48,Atsuto,-6.31451,-15.3853,-0.1648,3.26079,0.96644,Bayesian Inference,3.5114699999999996,4.72864,-72.70767,6.02881,-20.00089,False
49,Atsuto,-15.49164,-15.42199,0.19191,-17.51294,0.59063,GMMs and Accordions,4.23342,-12.94277,-78.42834,7.34812,-20.04859,False
50,Jorg,-6.48808,-15.3864,-0.15712,-3.4037599999999997,5.61306,GMMs and Accordions,-18.18712,16.0725,-78.40005,8.5586,-20.00232,False
51,Atsuto,-14.29369,-15.50041,0.33503,1.48842,-0.61142,Bayesian Inference,-5.26968,-12.59583,-75.44075,5.79341,-20.15053,False
52,Atsuto,-30.752779999999998,-15.466610000000001,0.7477199999999999,11.97294,1.48605,Bayesian Inference,-0.63279,-12.72677,-73.3371,8.559330000000001,-20.10659,False
53,Atsuto,-16.42762,-15.35934,0.07693,-13.079830000000001,-9.41892,GMMs and Accordions,3.10205,9.58733,-72.60949000000001,9.7143,-19.96714,False
54,Bob,-40.401509999999995,-15.33327,0.73082,11.82508,3.8220300000000003,Bayesian Inference,-7.88588,23.72154,-77.36277,7.94389,-19.93325,False
55,Bob,4.08271,-15.467,-0.28789000000000003,27.0405,-3.20369,GMMs and Accordions,-12.90385,17.09463,-77.57689,7.2512,-20.1071,True
56,Atsuto,-29.66024,-15.45921,0.69833,11.87453,5.98121,Bayesian Inference,0.02932,5.8307400000000005,-73.35181,8.55333,-20.096970000000002,False
57,Jorg,-17.19388,-15.37766,0.1415,17.55211,5.34523,Bayesian Inference,10.65335,26.461859999999998,-77.95658,8.95306,-19.99096,False
58,Bob,11.98499,-15.45318,-0.55453,17.575879999999998,3.35393,GMMs and Accordions,14.709320000000002,-23.12109,-77.25036,8.3475,-20.08914,True
59,Jorg,-16.866410000000002,-15.4198,0.22783,16.125329999999998,-2.4830099999999997,Bayesian Inference,12.05076,-41.55129,-78.13425,10.23023,-20.04574,False
60,Bob,12.26258,-15.49041,-0.47791999999999996,1.1511,-6.47956,GMMs and Accordions,2.69328,-0.44298000000000004,-77.8572,7.17185,-20.137529999999998,True
61,Atsuto,-10.81817,-15.50196,0.23515999999999998,7.76577,-2.80203,Bayesian Inference,2.3185700000000002,-2.9936,-74.22052,8.07586,-20.15255,False
62,Bob,-36.98073,-15.355670000000002,0.68012,18.33925,2.5138599999999998,Bayesian Inference,-2.7389900000000003,19.96998,-78.14098,7.17099,-19.96237,False
63,Bob,2.5018700000000003,-15.41707,-0.3547,12.74475,-6.6347,GMMs and Accordions,5.4541900000000005,-9.01334,-79.46296,6.644139999999999,-20.042189999999998,True
64,Bob,15.174339999999999,-15.403310000000001,-0.76312,9.58964,-6.1269599999999995,GMMs and Accordions,-8.60936,27.735259999999997,-79.65592,6.655,-20.02431,True
65,Atsuto,-4.6493199999999995,-15.506720000000001,0.062470000000000005,2.2299700000000002,-0.43861000000000006,Bayesian Inference,-1.83133,5.90191,-78.15508,8.622630000000001,-20.158739999999998,False
66,Atsuto,-33.45,-15.372020000000001,0.61232,8.46557,-0.28902,Bayesian Inference,-10.062560000000001,1.9009200000000002,-73.77937,7.92242,-19.983620000000002,False
67,Atsuto,-22.19162,-15.50646,0.5838399999999999,4.0957099999999995,-3.7029199999999998,Bayesian Inference,12.3426,-11.37472,-76.26862,8.80118,-20.1584,False
68,Atsuto,-22.49687,-15.39401,0.33657,4.944380000000001,6.5414900000000005,Bayesian Inference,4.69085,-13.820329999999998,-74.59123000000001,9.38145,-20.012220000000003,False
69,Atsuto,-8.49179,-15.51798,0.20246,2.18582,4.44137,Bayesian Inference,-0.37094,10.52908,-74.04234,9.42405,-20.173370000000002,False
