,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
920,Atsuto,-0.88813,-15.49785,-0.06966,7.67732,-5.53407,Bayesian Inference,-15.73042,0.47002,-79.08377,7.47777,-20.14721,False
525,Bob,15.7581,-15.50533,-0.5479,-0.10731,4.92758,Bayesian Inference,2.12756,4.39387,-76.19813,7.08379,-20.15693,True
567,Jorg,-29.38877,-15.34494,0.42975,4.62761,4.38002,Bayesian Inference,24.3661,-4.33016,-76.35019,9.00434,-19.94842,False
657,Shoogee,7.82989,-15.59088,-0.11698,11.20652,-10.25005,GMMs and Accordions,-2.5282,30.647540000000006,-74.27683,5.013730000000002,-20.26814,True
633,Bob,-18.88454,-15.39463,0.23048,2.3481400000000003,-1.32738,Bayesian Inference,7.82074,-12.21277,-79.33506,6.618410000000001,-20.01302,False
429,Atsuto,-9.41349,-15.49233,0.17143,35.53147,-1.03203,Bayesian Inference,-13.96252,-10.9457,-78.36967,9.81877,-20.14003,False
857,Atsuto,-14.23074,-15.45641,0.23287,23.33867,4.37743,Bayesian Inference,7.288639999999999,20.58058,-76.67096,7.018,-20.09334,False
712,Atsuto,-7.81802,-15.47717,0.08939,19.021,0.0975,Bayesian Inference,-6.50401,14.56346,-77.97989,8.14167,-20.12032,False
174,Bob,6.6827,-15.44834,-0.4078,10.53202,-4.24129,GMMs and Accordions,-9.96379,26.39302,-77.61112,6.89565,-20.08284,True
604,Bob,-3.1942,-15.42386,-0.16974,-4.466,-1.35125,GMMs and Accordions,11.86452,-27.51856,-76.52002,8.16743,-20.05101,False
867,Atsuto,-11.31627,-15.36368,-0.06526,24.69109,6.36581,Bayesian Inference,-9.19676,4.86276,-74.66765,10.19401,-19.97278,False
449,Jorg,-2.18818,-15.4462,-0.14873,20.93923,-1.04518,Bayesian Inference,-12.46208,-33.62109,-77.7801,8.4738,-20.08006,False
846,Atsuto,-25.58342,-15.51571,0.7058399999999999,2.60532,2.93704,Bayesian Inference,-2.47404,1.85078,-73.73458000000002,6.0262,-20.17042,False
580,Atsuto,-18.21782,-15.50407,0.46015,16.242179999999998,5.4523,Bayesian Inference,5.09137,26.92139,-77.57633,7.89665,-20.15529,False
76,Bob,7.03313,-15.46107,-0.38922,0.8204299999999999,5.50787,GMMs and Accordions,-12.08395,19.94679,-77.91474000000002,6.91907,-20.09939,True
371,Shoogee,-6.12174,-15.51311,0.12085,14.22423,-1.62954,Bayesian Inference,-6.87277,0.06568,-74.90531999999997,6.41549,-20.16705,False
720,Jorg,-9.46014,-15.43476,0.04157,14.05781,1.21991,Bayesian Inference,-7.15994,-13.19786,-74.24899,4.0532,-20.06519,False
136,Jorg,-22.75429,-15.42746,0.42047,22.17401,1.7997900000000002,Bayesian Inference,5.55652,32.21087,-77.89048000000003,6.10622,-20.05569,False
158,Jorg,3.73629,-15.4556,-0.30358,2.3946,-1.34712,GMMs and Accordions,-6.2861400000000005,-32.541059999999995,-78.42158,8.7642,-20.09228,True
290,Bob,9.30132,-15.46633,-0.4447,14.250520000000002,-12.83223,GMMs and Accordions,-15.18578,32.73308,-78.84305,6.58752,-20.10623,True
858,Atsuto,-12.28,-15.48003,0.22866,8.70139,6.57095,Bayesian Inference,2.71803,11.08413,-74.62637,9.27112,-20.12403,False
321,Atsuto,-19.32725,-15.389120000000002,0.2311,8.92698,-8.70653,Bayesian Inference,-3.83781,21.47305,-78.08173000000002,8.25111,-20.00585,False
759,Bob,-24.458920000000006,-15.42109,0.45667,0.45653,4.91266,Bayesian Inference,2.92014,-5.0233,-79.19344,8.890260000000003,-20.04742,False
70,Bob,-14.25024,-15.36188,0.01794,38.11035,1.45905,Bayesian Inference,-2.28533,17.92363,-78.56955,6.77617,-19.97045,False
355,Bob,2.20402,-15.39251,-0.40182,15.04807,1.84666,GMMs and Accordions,-0.31045,9.34112,-78.96722,9.0779,-20.01027,True
359,Jorg,-36.30693,-15.37011,0.69299,-4.48768,-4.36279,GMMs and Accordions,11.76485,-26.52228,-76.80493,8.948089999999997,-19.98115,False
107,Atsuto,-27.91064,-15.43699,0.59563,18.171,6.5658699999999985,Bayesian Inference,9.07487,22.90886,-72.38946999999997,9.56786,-20.06809,False
265,Jorg,-2.32262,-15.38219,-0.29066,15.27694,-3.79803,Bayesian Inference,-12.71694,-18.1742,-72.73557,6.14171,-19.99685,False
827,Bob,7.98408,-15.39205,-0.57486,20.61281,4.32157,GMMs and Accordions,-14.52547,19.46725,-79.26508000000003,9.73673,-20.00966,True
139,Jorg,-30.343000000000004,-15.38866,0.55783,32.41205,7.9306899999999985,Bayesian Inference,4.30025,-9.50048,-76.61333,7.2623,-20.00526,False
184,Atsuto,-7.2850199999999985,-15.36166,-0.18982,17.47329,2.27206,Bayesian Inference,-14.35868,6.77398,-75.75469,6.07642,-19.97015,False
728,Atsuto,-36.78733,-15.34003,0.6387,14.05587,4.503819999999998,Bayesian Inference,-7.48998,16.59253,-79.10058000000002,9.02732,-19.94204,False
688,Atsuto,-37.10852,-15.38335,0.74702,8.24043,7.057360000000001,Bayesian Inference,8.00078,24.22981,-73.73956,7.71761,-19.99836,False
943,Atsuto,-18.34111,-15.48526,0.42094,19.81325,0.08114,Bayesian Inference,-20.69245,18.76425,-77.32937,7.190410000000001,-20.13084,False
305,Jorg,-23.93984,-15.445570000000002,0.49703,6.501,-1.84479,Bayesian Inference,15.54046,48.00548,-77.15236,6.486000000000001,-20.07924,False
811,Atsuto,-18.94988,-15.47584,0.41758,10.76883,3.1339200000000003,Bayesian Inference,-6.73825,-5.28723,-79.20925,7.40182,-20.11859,False
306,Bob,-3.72916,-15.36679,-0.28391,21.57259,1.33294,Bayesian Inference,1.4981,-10.25196,-76.68411,5.51896,-19.97683,False
649,Shoogee,-0.51345,-15.554620000000002,0.0486,1.5005700000000002,1.91984,Bayesian Inference,-19.99033,-2.40889,-75.97077,6.804410000000002,-20.221,False
972,Atsuto,-1.11514,-15.49722,-0.06435,4.16314,-12.54103,Bayesian Inference,5.9389699999999985,-9.50958,-71.55481999999998,8.1944,-20.14638,False
323,Bob,-21.1268,-15.42283,0.3615,16.99645,7.37873,Bayesian Inference,2.30962,-2.04085,-78.74125,8.02426,-20.04968,False
59,Jorg,-16.866410000000002,-15.4198,0.22783,16.125329999999998,-2.48301,Bayesian Inference,12.05076,-41.55129,-78.13425,10.23023,-20.04574,False
298,Atsuto,-7.986269999999998,-15.41255,-0.05293,13.56683,-6.688839999999999,Bayesian Inference,-0.35985,-7.4068,-78.98746,7.30577,-20.03632,False
